Weather Conditions,Pest and Disease Outbreaks,Input Costs,Government Policies,Global Markets and Trade,Consumer Demand,Market Price
extreme,yes,Increased,relaxed,growth,Low,Low
normal,no,decreased,relaxed,Normal,High,Low
extreme,no,Increased,relaxed,depression,Low,High
extreme,no,Increased,strict,depression,High,Low
extreme,no,decreased,strict,growth,Low,High
normal,no,Increased,relaxed,depression,High,High
extreme,no,decreased,strict,Normal,Low,High
extreme,no,decreased,strict,growth,Low,Low
extreme,no,decreased,strict,Normal,High,High
normal,yes,Increased,strict,Normal,High,High
extreme,no,Increased,strict,depression,Low,Low
extreme,yes,Increased,relaxed,depression,High,High
extreme,no,Increased,strict,depression,Low,High
extreme,no,Increased,relaxed,depression,High,Low
normal,yes,Increased,relaxed,depression,Low,High
extreme,no,Increased,strict,growth,Low,High
normal,yes,decreased,relaxed,Normal,Low,High
normal,no,Increased,relaxed,Normal,Low,Low
normal,no,decreased,relaxed,Normal,Low,Low
extreme,yes,Increased,strict,Normal,Low,Low
normal,no,Increased,strict,depression,High,High
extreme,yes,Increased,relaxed,Normal,High,High
normal,no,decreased,strict,growth,High,Low
normal,yes,decreased,strict,growth,Low,High
normal,yes,decreased,strict,Normal,Low,High
normal,no,decreased,strict,Normal,Low,Low
normal,no,Increased,relaxed,growth,Low,Low
normal,yes,decreased,relaxed,growth,High,High
normal,no,Increased,strict,depression,High,High
normal,no,Increased,strict,growth,Low,High
extreme,no,decreased,relaxed,depression,High,Low
extreme,yes,decreased,relaxed,depression,High,Low
normal,yes,decreased,strict,depression,Low,Low
normal,yes,decreased,relaxed,depression,High,Low
normal,yes,decreased,strict,depression,Low,High
extreme,yes,decreased,strict,Normal,High,Low
normal,yes,decreased,relaxed,growth,Low,Low
extreme,yes,decreased,relaxed,depression,Low,Low
extreme,yes,Increased,strict,growth,Low,Low
extreme,yes,decreased,strict,growth,Low,Low
extreme,no,decreased,relaxed,depression,High,High
extreme,yes,Increased,strict,Normal,Low,High
normal,no,decreased,relaxed,depression,Low,Low
normal,no,Increased,strict,Normal,Low,High
normal,no,Increased,relaxed,growth,High,Low
normal,yes,decreased,relaxed,Normal,Low,Low
normal,yes,Increased,relaxed,Normal,High,High
extreme,yes,Increased,strict,Normal,Low,High
normal,yes,Increased,strict,growth,High,Low
normal,no,Increased,relaxed,growth,High,Low
extreme,yes,decreased,strict,Normal,Low,Low
normal,yes,Increased,relaxed,Normal,High,High
extreme,yes,decreased,relaxed,depression,Low,Low
normal,yes,Increased,strict,Normal,Low,Low
extreme,yes,Increased,strict,depression,Low,Low
normal,no,Increased,relaxed,Normal,High,High
normal,yes,Increased,strict,depression,High,Low
extreme,no,decreased,strict,growth,Low,Low
extreme,yes,decreased,relaxed,Normal,Low,High
extreme,no,Increased,relaxed,Normal,High,Low
extreme,yes,Increased,strict,Normal,Low,Low
extreme,yes,decreased,relaxed,Normal,Low,High
extreme,no,Increased,relaxed,depression,Low,Low
extreme,no,Increased,strict,Normal,High,High
extreme,no,Increased,relaxed,growth,High,High
normal,yes,decreased,relaxed,growth,High,Low
normal,no,decreased,strict,Normal,Low,Low
extreme,yes,decreased,strict,growth,Low,Low
normal,yes,Increased,relaxed,Normal,Low,Low
normal,no,Increased,relaxed,Normal,High,High
normal,no,decreased,strict,growth,Low,Low
normal,yes,decreased,strict,Normal,Low,High
extreme,yes,decreased,strict,growth,Low,Low
normal,no,decreased,strict,depression,Low,Low
extreme,no,Increased,relaxed,Normal,High,Low
normal,no,decreased,strict,depression,High,High
normal,yes,Increased,strict,growth,Low,Low
normal,yes,decreased,relaxed,depression,High,Low
extreme,yes,Increased,strict,depression,High,Low
normal,yes,decreased,relaxed,growth,Low,Low
extreme,yes,decreased,strict,depression,Low,High
normal,yes,decreased,strict,depression,High,Low
extreme,no,decreased,strict,growth,Low,High
normal,yes,Increased,relaxed,depression,High,High
extreme,yes,decreased,relaxed,growth,Low,High
extreme,yes,Increased,strict,depression,High,High
normal,no,Increased,relaxed,growth,Low,High
extreme,yes,Increased,relaxed,growth,High,High
normal,yes,Increased,relaxed,depression,High,Low
normal,no,decreased,relaxed,depression,High,High
normal,yes,Increased,relaxed,depression,Low,High
normal,yes,Increased,relaxed,Normal,High,High
normal,yes,Increased,strict,Normal,High,Low
normal,yes,decreased,strict,Normal,Low,Low
normal,yes,decreased,relaxed,growth,Low,High
normal,no,decreased,strict,depression,High,Low
normal,no,decreased,strict,growth,High,High
normal,no,Increased,strict,Normal,Low,High
normal,yes,Increased,strict,depression,Low,Low
extreme,yes,decreased,relaxed,growth,Low,High
